name;category;query;units;tags;value;imageURL
Bradley Beal;weight;weight;lbs;[‘athlete’, 'person'];207;http://www.wolframcdn.com/waimage/hset028/044/044de35c077f5b303384aeab98dca0ea_v001s.jpg
Cristiano Ronaldo;weight;weight;lbs;[‘athlete’, 'person'];176;http://www.wolframcdn.com/waimage/hset028/c43/c432abefa75378568995509d44da6d4a_v001s.jpg
Ja Morant;weight;weight;lbs;[‘athlete’, 'person'];174;http://www.wolframcdn.com/waimage/hset028/d57/d579dcb576e853e1d38bd6cf38bc7da4_v001s.jpg
James Harden;weight;weight;lbs;[‘athlete’, 'person'];220;http://www.wolframcdn.com/waimage/hset028/165/165ef9570a09a3b88d810a407cc327a8_v001s.png
Josh Allen;weight;weight;lbs;[‘athlete’, 'person'];262;https://upload.wikimedia.org/wikipedia/commons/c/ca/Josh_Allen.jpg
Kevin Durant;weight;weight;lbs;[‘athlete’, 'person'];240;http://www.wolframcdn.com/waimage/hset028/f34/f347f7652f0df81c3e68eddd6b8e6ef0_v001s.png
Klay Thompson;weight;weight;lbs;[‘athlete’, 'person'];214;http://www.wolframcdn.com/waimage/hset028/98d/98d42fae81e7c3f3f1f18fdf031e5bd0_v001s.png
Kylian Mbappe;weight;weight;lbs;[‘athlete’, 'person'];161;http://www.wolframcdn.com/waimage/hset028/54f/54f1ef3db2c663edbd37bcdf35d1a8ac_v001s.jpg
Lamelo Ball;weight;weight;lbs;[‘athlete’, 'person'];181;https://upload.wikimedia.org/wikipedia/commons/f/f9/LaMelo_Ball_%28cropped%29.jpg
Lebron James;weight;weight;lbs;[‘athlete’, 'person'];249;http://www.wolframcdn.com/waimage/hset028/b39/b39b9652ff86e14d6f83dbcd595102ea_v001s.png
Lionel Messi;weight;weight;lbs;[‘athlete’, 'person'];148;http://www.wolframcdn.com/waimage/hset028/1fd/1fd67187668e22506d377b8a7122e845_v001s.jpg
Michael Jordan;weight;weight;lbs;[‘athlete’, 'person'];198;http://www.wolframcdn.com/waimage/hset028/fda/fdae70cb656e70f53f175222328c55fc_v001s.jpg
Patrick Mahomes;weight;weight;lbs;[‘athlete’, 'person'];229;http://www.wolframcdn.com/waimage/hset028/65f/65f9d2eec1368e3bb8bd29405a2deb20_v001s.jpg
Rudy Gobert;weight;weight;lbs;[‘athlete’, 'person'];249;http://www.wolframcdn.com/waimage/hset028/7de/7dee3e59d388d790c8e06e22120ee744_v001s.png
Russell Westbrook;weight;weight;lbs;[‘athlete’, 'person'];200;https://en.wikipedia.org/wiki/Russell_Westbrook#/media/File:Russell_Westbrook_(March_21,_2022)_(cropped).jpg
Saquon Barkley;weight;weight;lbs;[‘athlete’, 'person'];234;http://www.wolframcdn.com/waimage/hset028/a37/a37ff05d9658e54d34c20fa15089be51_v001s.jpg
Shaquille ONeal;weight;weight;lbs;[‘athlete’, 'person'];324;http://www.wolframcdn.com/waimage/hset028/a5c/a5c276f5d3ffc1d1fc3214aceb0d0c73_v001s.jpg
Steph Curry;weight;weight;lbs;[‘athlete’, 'person'];185;http://www.wolframcdn.com/waimage/hset028/43e/43e67956a4d4cfd027b504ed61f5efcd_v001s.png
Tom Brady;weight;weight;lbs;[‘athlete’, 'person'];225;http://www.wolframcdn.com/waimage/hset028/776/7764b06493d87b24bb5a773bc1af4e2c_v001s.jpg
Trevor Lawrence;weight;weight;lbs;[‘athlete’, 'person'];213;http://www.wolframcdn.com/waimage/hset028/f00/f00083fa4f406fdadc5009fac04e8491_v001s.jpg
Trey Lance;weight;weight;lbs;[‘athlete’, 'person'];224;nan
Usain Bolt;weight;weight;lbs;[‘athlete’, 'person'];207;http://www.wolframcdn.com/waimage/hset028/099/09916a10e538d6b6a3d16f1ce671f5de_v001s.png
Rafael Nadal;weight;weight;lbs;[‘athlete’, 'person'];176;http://www.wolframcdn.com/waimage/hset028/2da/2da9e2ca693f5f9879d8682f5af3e7ac_v001s.png
Roger Federer;weight;weight;lbs;[‘athlete’, 'person'];176;http://www.wolframcdn.com/waimage/hset028/c85/c8505e620fa1efa21e8f4c7cc5552019_v001s.png
Yao Ming;weight;weight;lbs;[‘athlete’, 'person'];311;http://www.wolframcdn.com/waimage/hset028/a89/a896f9d43a48cb9e5e60af7718b8efb0_v001s.jpg
Russell Wilson;weight;weight;lbs;[‘athlete’, 'person'];215;http://www.wolframcdn.com/waimage/hset028/c97/c9781c156d7c3000c358d85b5e5f6bfc_v001s.jpg
Allen Iverson;weight;weight;lbs;[‘athlete’, 'person'];165;http://www.wolframcdn.com/waimage/hset028/8d9/8d9864f74d873ebba371f14b80ed00e0_v001s.jpg
Anthony Davis;weight;weight;lbs;[‘athlete’, 'person'];324;http://www.wolframcdn.com/waimage/hset028/433/433fa527b9b35d272d20f0069fcf4a01_v001s.jpg
Luka Doncic;weight;weight;lbs;[‘athlete’, 'person'];229;http://www.wolframcdn.com/waimage/hset028/08a/08a716c05dfb5154e6c0f7e9bffacb74_v001s.jpg
Giannis Antetokounmpo;weight;weight;lbs;[‘athlete’, 'person'];242;http://www.wolframcdn.com/waimage/hset028/18e/18e0ce908e0fd21a3244157900559197_v001s.jpg
Trae Young;weight;weight;lbs;[‘athlete’, 'person'];181;http://www.wolframcdn.com/waimage/hset028/c92/c922bed1d2c8b3bb3ee70c869f5707ea_v001s.jpg
Magic Johnson;weight;weight;lbs;[‘athlete’, 'person'];220;http://www.wolframcdn.com/waimage/hset028/6d4/6d44e0550745e2c1a208d9d55087be7d_v001s.jpg
